phage,Tailed?,tailMorphology,family,mainHost,hostTaxID,hostCanonicalName,gramStain,receptorLocation,HOST receptors,receptorDomain,domainClass,hostRange,hostRangeBasis,hostRangeConfidence,hostRangeNote,references,doi,comments,verified,Host Receptor has a Gen Bank?,If yes-Link,hostReceptorAccession,genBankTier,genBankGene,Does the Phage RBP have a Uniprot?,"If yes, link",phageRBPAccession,uniProtTier,uniProtProtein,source,sourceCitation,dateRetrieved,needsReview,reviewReasons,_domainNote,_gbNote,_upNote,_taxNote,_gbRecordOrganism,_gbRecordTitle,_upRecordOrganism,_doiStatus,_doiTitle,_litStatus,_litNote,domainConfidence,genBankConfidence,uniProtConfidence
K8,yes,contractile,Myoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,cell wall,O specific antigen of LPS,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Pan et al. 2016,10.3389/fmicb.2016.00252, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain PA3 isolate PA3 chromosome 1, complete sequence",,,,,,high,medium,none
F348,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
PRD1,no,"none (icosahedral, internal membrane)",Tectiviridae,Escherichia coli,562,Escherichia coli,Gram negative,pili,RP4 plasmid (IncP) encoded Mpf system (pili),Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Daugelavičius et al. 1997,10.1128/jb.179.16.5195-5202.1997, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/P22536,P22536,specific RBP,Spike protein P5,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Escherichia coli,"Escherichia coli strain 097H6 chromosome, complete genome",Enterobacteria phage PRD1,,,,,high,medium,high
PM2 (alternate family),no,"none (icosahedral, internal membrane)",Corticoviridae,Pseudoalteromonas sp.,53249,Pseudoalteromonas sp.,Gram negative,cell wall,Sugar moieties on the cell surface,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Kivela et al. 2008,10.1128/JB.01639-07, ,Yes,no,,,none,,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,no GenBank record found for receptor or host genome,phage not found in UniProt,,,,,,,,,none,none,none
SPN3C,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,flagella,FliC,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Shin et al. 2012,10.1371/journal.pone.0043392, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/JN587177.1,JN587177.1,specific gene,FliC,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FliC,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain SJW23 flagellin type 1 (fliC) gene, complete cds",,,,,,high,high,none
φAB6,yes,short,Podoviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,exopolysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Lai et al. 2016,10.1371/journal.pone.0153361, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A159BDB5,A0A159BDB5,specific RBP,Tail fiber,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Acinetobacter baumannii,"Acinetobacter baumannii strain D13 chromosome, complete genome",Acinetobacter phage phiAB6,,,,,high,medium,high
Ω8,yes,short,Podoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,O-antigen of LPS,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Jann et al. 1971,10.1099/00221287-67-3-289, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/L7X6K9,L7X6K9,specific RBP,Spike protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence UniProt assignment | ambiguous phage name across organisms,,host genome fallback: no gene symbol in receptor,"AMBIGUOUS phage name across organisms, none match host 'Escherichia coli': Bat coronavirus BtCoV/8-691/Pip_nat/ROU/2009, Bat coronavirus BtCoV/8-724/Pip_pyg/ROU/2009, Human astrovirus-8, Leuconostoc phage Ln-8",,Escherichia coli,"Escherichia coli strain 097H6 chromosome, complete genome",Bat coronavirus BtCoV/8-691/Pip_nat/ROU/2009,resolved,Isolation and Characterization of Escherichia coli bacteriophage   8 specific for E. coli strains belonging to sero-group O 8,corroborated,3 independent record(s) link Ω8 to O-antigen,high,medium,low
AM24,yes,contractile,Myoviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Popova et al. 2019,10.1007/s00705-019-04208-x, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Acinetobacter baumannii,"Acinetobacter baumannii strain D13 chromosome, complete genome",,,,,,high,medium,none
φSa012,yes,contractile,Myoviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,α-GlcNAc on wall teichoic acids,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Takeuchi et al. 2016,10.1128/AEM.01385-16, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Staphylococcus aureus,"Staphylococcus aureus strain A_1d chromosome, complete genome",,,,,,high,medium,none
S135,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",,,,,,high,medium,none
